id,concepto
0,Generalidades 
100,Filosofía & psicología 
200,Religión 
300,Ciencias sociales 
400,Lenguas 
500,Ciencias naturales & matemáticas 
600,Tecnología (Ciencias aplicadas) 
700,Las artes 
800,Literatura & retórica 
900,Geografía & historia 
